control_id,control_name,framework,framework_version,framework_identifier,framework_requirement_summary,mapping_direction,mapping_confidence,rationale,source_url,source_verified,reviewer,approval_status,record_version,last_updated,notes
HCG-DP-001,Sensitive Information Telemetry Boundary,HIPAA,45 CFR Parts 160 and 164,164.312(a)(2)(iv),Implement encryption and decryption mechanisms to protect ePHI during transmission and processing,bidirectional,high,HCG-DP-001 directly prevents ePHI from entering unauthorized telemetry destinations — the control satisfies the technical safeguard requirement by blocking transmission before it occurs rather than encrypting in transit,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/subpart-C/section-164.312,true,Andrew Rogers,human-approved,1.0.0,2026-09-19,Core HIPAA technical safeguard — encryption and decryption of ePHI
HCG-DP-001,Sensitive Information Telemetry Boundary,HIPAA,45 CFR Parts 160 and 164,164.312(e)(2)(ii),Implement a mechanism to encrypt ePHI in transit whenever deemed appropriate,bidirectional,high,The control prevents ePHI from reaching any transmission pathway to an unauthorized destination — satisfies the spirit and mechanism of the transmission security standard,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/subpart-C/section-164.312,true,Andrew Rogers,human-approved,1.0.0,2026-09-19,HIPAA transmission security standard
HCG-DP-001,Sensitive Information Telemetry Boundary,SOC2,AICPA TSC 2017,CC6.1,The entity implements logical access security software infrastructure and architectures over protected information assets to protect them from security events,bidirectional,medium-high,HCG-DP-001 enforces a logical boundary preventing sensitive information from reaching unauthorized processors — maps to the logical access and protection architecture requirement,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services,true,Andrew Rogers,human-approved,1.0.0,2026-09-19,SOC 2 logical access and protection — illustrative mapping requiring assessor review
HCG-DP-001,Sensitive Information Telemetry Boundary,SOC2,AICPA TSC 2017,CC6.7,The entity restricts the transmission movement and removal of information to authorized internal and external users and processes,bidirectional,high,The control directly restricts transmission of sensitive information to unauthorized external telemetry destinations — strong alignment with CC6.7 transmission restriction requirement,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services,true,Andrew Rogers,human-approved,1.0.0,2026-09-19,SOC 2 transmission restriction — illustrative mapping requiring assessor review
HCG-DP-001,Sensitive Information Telemetry Boundary,SOC2,AICPA TSC 2017,CC7.2,The entity monitors system components and the operation of those components for anomalies that are indicative of malicious acts natural disasters and errors affecting the entity's ability to meet its objectives,bidirectional,medium-high,Canary-based detection and signed evidence receipts satisfy the monitoring and anomaly-detection requirement — a failed canary is a detected anomaly triggering the exception workflow,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services,true,Andrew Rogers,human-approved,1.0.0,2026-09-19,SOC 2 monitoring and anomaly detection — illustrative mapping requiring assessor review
HCG-DP-001,Sensitive Information Telemetry Boundary,ISO27001,ISO/IEC 27001:2022,A.8.12,Data leakage prevention measures shall be applied to systems networks and any other devices that process store or transmit sensitive information,bidirectional,high,HCG-DP-001 is a data leakage prevention control at the telemetry egress point — direct alignment with A.8.12 data leakage prevention requirement,https://www.iso.org/standard/27001,true,Andrew Rogers,human-approved,1.0.0,2026-09-19,ISO 27001 data leakage prevention — illustrative mapping requiring assessor review
HCG-DP-001,Sensitive Information Telemetry Boundary,ISO27001,ISO/IEC 27001:2022,A.8.15,Logs that record activities exceptions faults and other relevant events shall be produced retained and reviewed,bidirectional,medium-high,The control produces signed hash-chained detection logs as evidence — local logging of detection events without external transmission satisfies the logging requirement while maintaining the boundary,https://www.iso.org/standard/27001,true,Andrew Rogers,human-approved,1.0.0,2026-09-19,ISO 27001 logging — illustrative mapping requiring assessor review
HCG-DP-001,Sensitive Information Telemetry Boundary,ISO27001,ISO/IEC 27001:2022,A.8.16,Networks systems and applications shall be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents,bidirectional,medium-high,Canary-based telemetry monitoring detects anomalous boundary behavior — failed canary triggers the exception workflow satisfying the monitoring and incident evaluation requirement,https://www.iso.org/standard/27001,true,Andrew Rogers,human-approved,1.0.0,2026-09-19,ISO 27001 monitoring — illustrative mapping requiring assessor review
HCG-DP-001,Sensitive Information Telemetry Boundary,NIST-CSF,2.0,PR.DS-1,The confidentiality integrity and availability of data-at-rest are protected,bidirectional,high,Preventing sensitive information from entering telemetry systems protects confidentiality at rest in downstream log stores — the control stops the data from reaching unauthorized storage entirely,https://www.nist.gov/cyberframework,true,Andrew Rogers,human-approved,1.0.0,2026-09-19,NIST CSF 2.0 data at rest protection
HCG-DP-001,Sensitive Information Telemetry Boundary,NIST-CSF,2.0,PR.DS-2,The confidentiality integrity and availability of data-in-transit are protected,bidirectional,high,The control intercepts sensitive information before transmission to unauthorized destinations — direct alignment with data-in-transit protection requirement,https://www.nist.gov/cyberframework,true,Andrew Rogers,human-approved,1.0.0,2026-09-19,NIST CSF 2.0 data in transit protection
